word,predicted,gold
напавших,NOUN,VERB
Центральное,PUNCT,ADJ
отводилось,PUNCT,VERB
всеукраинской,NOUN,ADJ
неправительственной,PUNCT,ADJ
Ассоциация,PUNCT,NOUN
украинских,PUNCT,ADJ
мониторов,PUNCT,NOUN
правоохранительных,PUNCT,ADJ
29,ADJ,NUM
Главным,PUNCT,ADJ
водотоков,PUNCT,NOUN
талые,ADP,ADJ
снеговые,NOUN,ADJ
Владетелю,PUNCT,NOUN
Сандвичевых,PUNCT,ADJ
Каумуалии,VERB,PROPN
вождю,PUNCT,NOUN
Интеко,PUNCT,PROPN
реализовала,PUNCT,VERB
30,ADJ,NUM
девелоперских,NOUN,ADJ
Бойко,PUNCT,PROPN
Толпинская,PUNCT,PROPN
вегетационного,PUNCT,ADJ
водонасыщенность,PUNCT,NOUN
капиллярного,PUNCT,ADJ
поднятия,PUNCT,NOUN
специфической,PUNCT,ADJ
болотной,PUNCT,ADJ
растительности,PUNCT,NOUN
тростник,ADP,NOUN
камыш,PUNCT,NOUN
осоки,PUNCT,NOUN
Петрозаводске,PUNCT,PROPN
управляющего,PUNCT,NOUN
олонецкими,PUNCT,ADJ
горными,PUNCT,ADJ
заводами,PUNCT,NOUN
Адама,PUNCT,PROPN
Армстронга,PUNCT,PROPN
происходившего,PUNCT,VERB
старинного,NOUN,ADJ
Армстронгов,PUNCT,PROPN
ЛФС,NOUN,PROPN
присоединилось,PUNCT,VERB
Эшен,PUNCT,PROPN
Маурен,PUNCT,PROPN
сперва,PUNCT,ADV
как,SCONJ,ADP
Маурен,PUNCT,PROPN
Эшен,PUNCT,PROPN
Маурен,PUNCT,PROPN
Тем,PRON,DET
Лоис,PUNCT,PROPN
Тесс,NOUN,PROPN
теряет,PUNCT,VERB
LuthorCorp,NOUN,X
Английский,PUNCT,ADJ
Гаронне,NOUN,PROPN
Людовик,NOUN,PROPN
блестящую,ADP,ADJ
Тальебуре,NOUN,PROPN
1242,PUNCT,ADJ
Флоринский,PUNCT,PROPN
патриотическом,NOUN,ADJ
монархическом,NOUN,ADJ
нерелятивистском,NOUN,ADJ
приближении,PUNCT,NOUN
много,NUM,ADV
меньше,ADV,ADJ
электрическое,PUNCT,ADJ
падающей,PUNCT,VERB
Essen,PUNCT,X
Feather,PUNCT,X
церемонии,VERB,NOUN
летний,PUNCT,ADJ
Гамбурге,NOUN,PROPN
Пауло,PUNCT,PROPN
Сикейры,PUNCT,PROPN
Capoeuropa,PUNCT,X
безоблачная,PUNCT,ADJ
Вартислав,PUNCT,PROPN
1135,NOUN,ADJ
Ратибор,PUNCT,PROPN
Specific,PUNCT,X
Media,PUNCT,X
доля,PUNCT,NOUN
Тимберлейк,PUNCT,PROPN
Виталия,NOUN,PROPN
как,ADV,ADP
приложения,PUNCT,NOUN
парикмахерского,PUNCT,ADJ
Мужчинам,PUNCT,NOUN
рекомендуют,PUNCT,VERB
шорты,ADP,NOUN
и,PART,CCONJ
одежду,ADP,NOUN
туристических,PUNCT,ADJ
комплексов,PUNCT,NOUN
фон,NOUN,PART
Ураха,PUNCT,PROPN
Греческое,PUNCT,ADJ
министерство,PUNCT,NOUN
издало,PUNCT,VERB
специальное,PUNCT,ADJ
разрешение,PUNCT,NOUN
разрешающее,PUNCT,VERB
донорство,PUNCT,NOUN
Каламария,PUNCT,PROPN
Пенталофос,PUNCT,PROPN
Флорина,NOUN,PROPN
также,PART,CCONJ
сербского,PUNCT,ADJ
Хиландар,PUNCT,PROPN
Афоне,NOUN,PROPN
гуманитарную,NOUN,ADJ
подпалубная,NOUN,ADJ
барабанного,PUNCT,ADJ
типа,ADP,NOUN
одноступенчатых,NOUN,ADJ
твердотопливных,PUNCT,ADJ
телеуправляемых,PUNCT,ADJ
9М330,PUNCT,NUM
суммарный,PUNCT,ADJ
запас,PUNCT,NOUN
22,ADJ,NUM
Брянска,PUNCT,PROPN
Госомка,PUNCT,PROPN
Десны,PUNCT,NOUN
Хуздар,PUNCT,PROPN
пакистанской,NOUN,ADJ
далеко,PUNCT,ADV
легкий,VERB,ADJ
так,ADV,SCONJ
как,ADP,ADV
быть,AUX,VERB
университетских,PUNCT,ADJ
Высших,PUNCT,ADJ
географических,PUNCT,ADJ
курсов,PUNCT,NOUN
создается,PUNCT,VERB
географический,NOUN,ADJ
географический,ADP,ADJ
и,PART,CCONJ
этнографический,VERB,ADJ
факультеты,ADP,NOUN
Пусть,PUNCT,PART
F,X,NOUN
определённая,PUNCT,VERB
Турецкого,PUNCT,ADJ
энергетической,NOUN,ADJ
конки,PUNCT,NOUN
14,NUM,ADJ
Хердт,PUNCT,PROPN
буддистский,PUNCT,ADJ
дзёдо,PUNCT,NOUN
синсю,PUNCT,X
стабилизированной,PUNCT,VERB
85-мм,PUNCT,ADJ
С,ADP,PROPN
116,PUNCT,NUM
плавающего,NOUN,ADJ
ПТ,PUNCT,PROPN
некоторого,PUNCT,DET
демонстрировался,PUNCT,VERB
Максбергском,NOUN,ADJ
владельцу,ADP,NOUN
Заместители,PUNCT,NOUN
кабинета,PUNCT,NOUN
Симон,PUNCT,PROPN
Мармион,PUNCT,PROPN
и,CCONJ,PART
станковые,NOUN,ADJ
книжные,NOUN,ADJ
Молодые,PUNCT,ADJ
рыже-бурые,PUNCT,ADJ
тёмно-коричневых,NOUN,ADJ
ирисок,PUNCT,NOUN
Макфадден,PUNCT,PROPN
пробивался,PUNCT,VERB
и,CCONJ,PART
перейдя,PUNCT,VERB
Бирмингем,PUNCT,PROPN
Сити,PROPN,NOUN
Ко́кса,PUNCT,PROPN
синяя,PUNCT,ADJ
Геологические,PUNCT,ADJ
запасы,PUNCT,NOUN
оцениваются,PUNCT,VERB
"160,4",NOUN,NUM
контрактной,NOUN,ADJ
Го́рное,PUNCT,ADJ
Ве́рхний,PUNCT,ADJ
Аиргу́ль,PUNCT,PROPN
упразднённое,PUNCT,VERB
Бахчисарайском,NOUN,ADJ
Солнечноселья,PUNCT,PROPN
Без,PUNCT,ADP
этого,PRON,DET
процветание,VERB,NOUN
невозможно,PUNCT,ADJ
Командуя,PUNCT,VERB
293-м,PUNCT,ADJ
гаубичным,PUNCT,ADJ
артиллерийским,PUNCT,ADJ
полком,PUNCT,NOUN
9-я,PUNCT,ADJ
гаубичная,PUNCT,ADJ
артиллерийская,PUNCT,ADJ
артиллерийская,NOUN,ADJ
артиллерийский,NOUN,ADJ
8-я,PUNCT,ADJ
гвардейская,PUNCT,ADJ
подполковник,PUNCT,NOUN
Плужников,PUNCT,PROPN
полком,ADP,NOUN
Люблинско-Брестской,PUNCT,ADJ
также,PART,CCONJ
форсирования,PUNCT,NOUN
Западного,PUNCT,ADJ
Буга,PUNCT,PROPN
Гуща,PUNCT,PROPN
Любомльский,PUNCT,ADJ
Волынская,PUNCT,ADJ
плацдарма,PUNCT,NOUN
зерноуборочный,NOUN,ADJ
комбайн,PUNCT,NOUN
Ростсельмашем,ADP,PROPN
Околоцветные,PUNCT,ADJ
щетинки,PUNCT,NOUN
4-6,PUNCT,NUM
плодоношения,PUNCT,NOUN
достигают,PUNCT,VERB
внешне,PUNCT,ADV
колосок,PUNCT,NOUN
пушицы,PUNCT,NOUN
10,NUM,ADJ
Dave,PUNCT,X
Clark,PUNCT,X
Five,PUNCT,X
рок-н-ролла,PUNCT,NOUN
CALS,NOUN,X
данными,PUNCT,NOUN
технической,NOUN,ADJ
документации,PUNCT,NOUN
этого,DET,PRON
профсоюзных,NOUN,ADJ
лакокрасочной,PUNCT,ADJ
Тиккурила,PUNCT,PROPN
вклада,PUNCT,NOUN
исполнивших,PUNCT,VERB
Эдмунда,PUNCT,PROPN
Шклярского,PUNCT,PROPN
значимость,ADP,NOUN
дневной,NOUN,ADJ
мыльной,PUNCT,ADJ
Молодые,PUNCT,ADJ
любительской,NOUN,ADJ
Коулмен,PUNCT,PROPN
малоизвестный,NOUN,ADJ
спорт,PUNCT,NOUN
UFC,PUNCT,X
UFC,NOUN,X
11,ADJ,NUM
победив,PUNCT,VERB
Дэн,NOUN,PROPN
Северн,PUNCT,PROPN
UFC,PUNCT,X
тяжёлом,NOUN,ADJ
этого,DET,PRON
весовых,NOUN,ADJ
UFC,NOUN,X
было,AUX,VERB
Так,SCONJ,ADV
трогательно,NOUN,ADV
Гения,PUNCT,NOUN
любили,PUNCT,VERB
Горячкина,PUNCT,PROPN
28,NUM,ADJ
Орск,PUNCT,PROPN
гроссмейстер,PUNCT,NOUN
Неспецифическая,PUNCT,ADJ
фибросаркома,PUNCT,NOUN
взрослых,PUNCT,NOUN
узел,VERB,NOUN
чётких,NOUN,ADJ
глубоких,NOUN,ADJ
нижних,VERB,ADJ
конечностей,ADP,NOUN
всего,PRON,ADV
рубль,VERB,NOUN
рабочие,NOUN,ADJ
финансировалась,PUNCT,VERB
молодёжи,PUNCT,NOUN
Мурманск,PUNCT,PROPN
Областной,PUNCT,ADJ
Мурманский,PUNCT,ADJ
областной,PUNCT,ADJ
Военно-морской,PUNCT,ADJ
"24,5",PUNCT,NUM
том,DET,PRON
"10,7",NOUN,NUM
65,ADJ,NUM
Торрес,PUNCT,PROPN
Альканадре,PUNCT,PROPN
Уэска,PUNCT,PROPN
Арагон,PUNCT,PROPN
приём,VERB,NOUN
арбуза,ADP,NOUN
вызывать,ADP,VERB
рвоту,PUNCT,NOUN
желудочные,PUNCT,ADJ
Лернагорц,PUNCT,PROPN
А,CCONJ,NOUN
21,ADJ,NUM
Современные,PUNCT,ADJ
алфавиты,PUNCT,NOUN
лжесвидетельница,PUNCT,NOUN
убита,PUNCT,VERB
Йокомити,PUNCT,PROPN
Кейдзи,PUNCT,PROPN
исчез,PUNCT,VERB
сербского,PUNCT,ADJ
национально-освободительного,PUNCT,ADJ
переместился,PUNCT,VERB
Сербию,NOUN,PROPN
1766,NOUN,ADJ
Печский,ADP,ADJ
успешная,PUNCT,ADJ
эллинизации,PUNCT,NOUN
номинировался,NOUN,VERB
Стресс,PUNCT,NOUN
Финансовые,PUNCT,ADJ
Кредита,PUNCT,NOUN
соответствуют,PUNCT,VERB
стандартным,PUNCT,ADJ
АКФ,PUNCT,PROPN
средним,NOUN,ADJ
австрийскую,NOUN,ADJ
Разница,PUNCT,NOUN
традиционным,NOUN,ADJ
либеральным,NOUN,ADJ
подходами,PUNCT,NOUN
гомосексуальности,PUNCT,NOUN
интересуется,PUNCT,VERB
как,ADP,SCONJ
либеральное,NOUN,ADJ
научного,NOUN,ADJ
том,DET,PRON
есть,VERB,AUX
выразиться,NOUN,VERB
Церкви,PUNCT,NOUN
саентологии,PUNCT,NOUN
и,CCONJ,PART
меньший,ADP,ADJ
Показывает,PUNCT,VERB
автобусы,PUNCT,NOUN
трамваи,PUNCT,NOUN
паромы,PUNCT,NOUN
Яровце,PUNCT,PROPN
Петржалка,PUNCT,PROPN
Русовце,PUNCT,PROPN
Чуново,PUNCT,PROPN
необходимые,ADP,ADJ
ударные,NOUN,ADJ
артиллерийское,ADP,ADJ
эффективно,VERB,ADV
мощного,NOUN,ADJ
как,SCONJ,ADP
гитлеровский,NOUN,ADJ
вермахт,PUNCT,NOUN
Состоял,PUNCT,VERB
Балтика,PUNCT,PROPN
Черное,PUNCT,ADJ
Разработчики,PUNCT,NOUN
думали,PUNCT,VERB
будет,AUX,VERB
Геншер,NOUN,PROPN
Грёгель,NOUN,PROPN
31,ADJ,NUM
Коноллиштрассе,NOUN,PROPN
Кимберли,PUNCT,PROPN
Динамитерс,PUNCT,PROPN
выступают,PUNCT,VERB
юниорской,NOUN,ADJ
Кутеная,PUNCT,PROPN
вырвало,PUNCT,VERB
крышку,PUNCT,NOUN
хвостовым,NOUN,ADJ
лайнера,PUNCT,NOUN
20,NUM,ADJ
Southern,PUNCT,X
Comfort,PUNCT,X
Pirate,PUNCT,X
Track1,PUNCT,X
Доля,PUNCT,NOUN
"21,3",ADP,NUM
Форум,PUNCT,NOUN
проведенных,PUNCT,VERB
1839,NOUN,ADJ
Флот,PUNCT,NOUN
дошёл,PUNCT,VERB
Бергена,PUNCT,PROPN
Ланчи,PUNCT,PROPN
Шахмирза,PUNCT,PROPN
Мереджи,PUNCT,PROPN
изгнавший,PUNCT,VERB
Миатхана,PUNCT,PROPN
пребывать,ADP,VERB
агрегатных,NOUN,ADJ
состояниях,PUNCT,NOUN
Нападавшие,PUNCT,NOUN
нанятыми,PUNCT,VERB
профессиональными,PUNCT,ADJ
охранниками,PUNCT,NOUN
одетыми,PUNCT,VERB
прелюдией,ADP,NOUN
пшеничных,NOUN,ADJ
геометрические,NOUN,ADJ
фигуры,PUNCT,NOUN
маглов,ADP,NOUN
управляется,PUNCT,VERB
некоммерческой,PUNCT,ADJ
образовательной,PUNCT,ADJ
Annals,PUNCT,X
Botany,PUNCT,X
публикуется,NOUN,VERB
университетским,PUNCT,ADJ
издательством,PUNCT,NOUN
Oxford,PUNCT,X
Press,PUNCT,X
его,PRON,DET
импакт-фактор,VERB,NOUN
ISI,NOUN,PROPN
равнялся,PUNCT,VERB
"2,755",PUNCT,NUM
Индийский,PUNCT,ADJ
покрывающий,PUNCT,VERB
водной,NOUN,ADJ
Около,PUNCT,ADP
примитивное,ADP,ADJ
суходольное,NOUN,ADJ
рисоводство,PUNCT,NOUN
Сказании,PUNCT,NOUN
Макарии,NOUN,PROPN
вытекающего,PUNCT,VERB
как,SCONJ,ADP
безработными,PUNCT,ADJ
его,DET,PRON
праздником,ADP,NOUN
темноты,PUNCT,NOUN
родными,ADP,NOUN
Геде,PUNCT,PROPN
запатентовал,NOUN,VERB
диффузионного,PUNCT,ADJ
насоса,PUNCT,NOUN
реагируют,NOUN,VERB
сверхиндивидуальные,NOUN,ADJ
невозможно,PUNCT,ADJ
как,ADP,SCONJ
871,PUNCT,NUM
Деньги,PUNCT,NOUN
входящем,PUNCT,VERB
Коммерсантъ,PUNCT,PROPN
публиковалась,PUNCT,VERB
сахаджа,PUNCT,X
йоги,PUNCT,NOUN
Шри,PUNCT,PROPN
Матаджи,PUNCT,PROPN
Нирмала,PUNCT,PROPN
Деви,PUNCT,PROPN
том,DET,PRON
СПИД,NOUN,PROPN
подставить,NOUN,VERB
непокрытую,PUNCT,ADJ
лунному,PUNCT,ADJ
свету,PUNCT,NOUN
то,PRON,CCONJ
сойти,ADP,VERB
"73,24",PUNCT,NUM
Промышленного,PUNCT,ADJ
как,SCONJ,ADP
Miele,NOUN,PROPN
Siemens,NOUN,PROPN
бытовую,ADP,ADJ
умный,PUNCT,ADJ
устарело,PUNCT,VERB
предела,ADP,NOUN
доверительной,NOUN,ADJ
95,PUNCT,NUM
это,DET,PRON
равно,ADV,ADJ
"10,7",NOUN,NUM
"19,1",NOUN,NUM
эквивалентно,NOUN,ADJ
"4,23",NOUN,NUM
"7,53",NOUN,NUM
дюймов,PUNCT,NOUN
Денисов,PUNCT,PROPN
также,CCONJ,PART
как,SCONJ,ADV
Мерцарио,PUNCT,PROPN
Лаффит,NOUN,PROPN
Ветрова,PUNCT,PROPN
солисты,PUNCT,NOUN
ЗКР,PUNCT,PROPN
АСО,PUNCT,PROPN
Вениамин,PUNCT,PROPN
Марголин,PUNCT,PROPN
Большиянов,PUNCT,PROPN
также,PART,CCONJ
оперы,PUNCT,NOUN
Сердюк,PUNCT,PROPN
Руководитель,PUNCT,NOUN
интеллектуальных,PUNCT,ADJ
Коломна,PUNCT,PROPN
сознавать,PUNCT,VERB
Лоран,PUNCT,PROPN
Луи,PUNCT,PROPN
франкофонной,NOUN,ADJ
Удобны,PUNCT,ADJ
быстрого,NOUN,ADJ
развёртывания,PUNCT,NOUN
Выделяют,PUNCT,VERB
также,CCONJ,PART
моторную,NOUN,ADJ
речевую,PUNCT,ADJ
персеверацию,PUNCT,NOUN
многократных,PUNCT,ADJ
повторений,PUNCT,NOUN
того,PRON,DET
слога,VERB,NOUN
эфферентной,PUNCT,ADJ
моторной,PUNCT,ADJ
афазии,PUNCT,NOUN
нижних,PUNCT,ADJ
премоторной,PUNCT,ADJ
Сестры,PUNCT,NOUN
опускались,PUNCT,VERB
щиты,PUNCT,NOUN
водоспуска,PUNCT,NOUN
А,CCONJ,NOUN
горизонт,VERB,NOUN
впереди,PUNCT,ADP
этого,PRON,DET
водоспуска,VERB,NOUN
мгновенно,ADP,ADV
возвышался,NOUN,VERB
Современниками,PUNCT,NOUN
оценивался,PUNCT,VERB
как,SCONJ,ADP
жесткий,PUNCT,ADJ
хозяйственник,PUNCT,NOUN
трудовую,ADP,ADJ
европейскому,NOUN,ADJ
образцу,PUNCT,NOUN
Софья,PUNCT,PROPN
ушла,PUNCT,VERB
всего,DET,ADV
29,ADJ,NUM
это,PRON,DET
успела,PUNCT,VERB
глубокий,NOUN,ADJ
след,PUNCT,NOUN
шашечном,NOUN,ADJ
Макарович,PUNCT,PROPN
уходу,VERB,NOUN
многочисленных,NOUN,ADJ
гастролей,PUNCT,NOUN
1952-м,NOUN,ADJ
перейдя,PUNCT,VERB
Ленгосэстраду,PUNCT,PROPN
Выступает,PUNCT,VERB
Серии,PUNCT,NOUN
А,CCONJ,NOUN
Атлетико,PUNCT,PROPN
Минейро,PUNCT,PROPN
Будзинского,PUNCT,PROPN
Анапе,NOUN,PROPN
модном,NOUN,ADJ
мавританском,PUNCT,ADJ
курортной,PUNCT,ADJ
Неудачные,PUNCT,ADJ
Южном,NOUN,ADJ
фасе,PUNCT,NOUN
тяжело,PUNCT,ADV
отразились,PUNCT,VERB
Кепмфа,PUNCT,PROPN
что,SCONJ,PRON
иное,NOUN,ADJ
как,SCONJ,ADP
разума,PUNCT,NOUN
влитый,PUNCT,VERB
Богом,VERB,PROPN
его,DET,PRON
что,SCONJ,PRON
Лазарев,PUNCT,PROPN
научно-популярных,ADP,ADJ
зарубежной,NOUN,ADJ
МОСНК,PUNCT,PROPN
Наблюдатели,PUNCT,NOUN
инерциальных,NOUN,ADJ
пространственной,PUNCT,ADJ
сравнить,ADP,VERB
наибольшее,ADP,ADJ
величин,PUNCT,NOUN
пар,PUNCT,NOUN
значащих,PUNCT,ADJ
значащих,VERB,ADJ
последовательно,PUNCT,ADV
продвигаясь,PUNCT,VERB
значащим,NOUN,ADJ
битам,PUNCT,NOUN
неравенства,PUNCT,NOUN
чеченской,NOUN,ADJ
архитектурной,ADP,ADJ
давшей,PUNCT,VERB
сформировавшемуся,PUNCT,VERB
форштадту,VERB,NOUN
Ильинский,PUNCT,ADJ
Датский,PUNCT,ADJ
Ганнибал,PUNCT,PROPN
Сехестед,PUNCT,PROPN
третьих,PUNCT,ADJ
1660,NOUN,ADJ
Датско-Норвежское,NOUN,ADJ
подписали,PUNCT,VERB
Копенгагенский,PUNCT,ADJ
Дании,ADP,PROPN
Борнхольм,NOUN,PROPN
Трёнделаг,PUNCT,PROPN
Борису,NOUN,PROPN
Годунову,PUNCT,PROPN
Grande,VERB,X
Cretto,ADP,X
преподавательская,NOUN,ADJ
Гарварде,NOUN,PROPN
Призыв,PUNCT,NOUN
ударника,PUNCT,NOUN
Ангана,PUNCT,PROPN
Эльдя,PUNCT,PROPN
Кектеев,PUNCT,PROPN
7,NUM,ADJ
Таңhчин,PUNCT,ADV
зәңг,PUNCT,ADV
Петровка,PUNCT,PROPN
Аннинском,NOUN,ADJ
Латышев,PUNCT,PROPN
штрафной,ADP,NOUN
Яшин,PUNCT,PROPN
подошёл,PUNCT,VERB
Агапов,PUNCT,PROPN
послы,ADP,NOUN
Цзян,PUNCT,PROPN
Пэнцзянь,PUNCT,PROPN
Тайване,NOUN,PROPN
сапожника,PUNCT,NOUN
эмигранта,PUNCT,NOUN
разработать,PUNCT,VERB
64-разрядную,VERB,ADJ
архитектуру,ADP,NOUN
PRISM,PUNCT,X
32-разрядной,VERB,ADJ
взрослую,NOUN,ADJ
все,DET,PRON
спасают,PUNCT,VERB
принцесс,PUNCT,NOUN
Акаси,PUNCT,PROPN
Токийском,NOUN,ADJ
Фулбрайт,PUNCT,PROPN
Вергинском,NOUN,ADJ
Флетчерской,NOUN,ADJ
Права,PUNCT,NOUN
Тафтском,NOUN,ADJ
престижа,PUNCT,NOUN
Мидлсбро,PUNCT,PROPN
Скотт,PUNCT,PROPN
Каан,PUNCT,PROPN
Тёрка,PUNCT,PROPN
Мэллойя,PUNCT,PROPN
Оушена,PUNCT,PROPN
12,ADJ,NUM
Оушена,PUNCT,PROPN
Оушена,PUNCT,PROPN
24,NUM,ADJ
Дании,PUNCT,PROPN
Ступенчатый,PUNCT,ADJ
спиралеобразный,PUNCT,ADJ
фонарь,PUNCT,NOUN
богато,PUNCT,ADV
несёт,NOUN,VERB
металлическую,PUNCT,ADJ
фигурную,PUNCT,ADJ
корону,PUNCT,NOUN
олицетворяющую,PUNCT,VERB
папскую,PUNCT,ADJ
тиару,PUNCT,NOUN
обстрела,PUNCT,NOUN
случился,PUNCT,VERB
сгорела,PUNCT,VERB
Организатором,PUNCT,NOUN
Всеафриканских,PUNCT,ADJ
Нигерия,ADP,PROPN
остальные,ADJ,NOUN
согласившихся,PUNCT,VERB
креститься,PUNCT,VERB
их,PRON,DET
конфискована,PUNCT,VERB
Сармат,PUNCT,PROPN
ЭЗСА,NOUN,PROPN
модернизировали,PUNCT,VERB
облагородили,PUNCT,VERB
базовые,PUNCT,ADJ
автобусов,PUNCT,NOUN
Альтерна,PUNCT,PROPN
Лескова,PUNCT,PROPN
отчасти,PUNCT,ADV
поместного,PUNCT,ADJ
дворянства,PUNCT,NOUN
RIM,PUNCT,X
отчиталась,PUNCT,VERB
100-миллионного,PUNCT,ADJ
смартфона,PUNCT,NOUN
BlackBerry,PUNCT,X
1367,PUNCT,NUM
штурмовых,PUNCT,ADJ
23,ADJ,NUM
зенитных,NOUN,ADJ
вражеских,NOUN,ADJ
Андрюс,PUNCT,PROPN
попасть,ADP,VERB
12.2012,NOUN,ADJ
народный,PUNCT,ADJ
депутат,PUNCT,NOUN
национальной,PUNCT,ADJ
Выстрел,PUNCT,NOUN
чеканились,PUNCT,VERB
12,ADJ,NUM
1698,NOUN,ADJ
Речи,PUNCT,PROPN
Посполитой,PUNCT,ADJ
саксонского,PUNCT,ADJ
курфюрста,PUNCT,NOUN
Сильного,PUNCT,ADJ
писаря,PUNCT,NOUN
польного,PUNCT,ADJ
взрослые,PUNCT,ADJ
экземпляры,PUNCT,NOUN
Арнолд,PUNCT,PROPN
Массачусетс,PUNCT,PROPN
Жрица,PUNCT,NOUN
пифией,ADP,NOUN
вдыхала,PUNCT,VERB
ядовитые,PUNCT,ADJ
исходившие,PUNCT,VERB
впадала,NOUN,VERB
священный,NOUN,ADJ
экстаз,PUNCT,NOUN
записывали,PUNCT,VERB
решительно,NOUN,ADV
настаивал,PUNCT,VERB
том,DET,PRON
баланс,PUNCT,NOUN
быть,AUX,VERB
Подбор,PUNCT,NOUN
хорошей,PUNCT,ADJ
метафоры,PUNCT,NOUN
облегчает,PUNCT,VERB
разработчиков,PUNCT,NOUN
понимание,PUNCT,NOUN
каким,PUNCT,DET
Gamer,PUNCT,X
Ом,PUNCT,PROPN
Подшибякин,PUNCT,PROPN
Штат,PUNCT,NOUN
Айова,PUNCT,PROPN
Базисные,PUNCT,ADJ
неделимые,PUNCT,ADJ
учебного,PUNCT,ADJ
бедные,NOUN,ADJ
всего,PRON,ADV
пенни,VERB,NOUN
принимается,PUNCT,VERB
также,CCONJ,PART
поношенная,NOUN,ADJ
Модернизация,PUNCT,NOUN
корабельного,PUNCT,ADJ
возможна,PUNCT,ADJ
com.,PUNCT,X
xx,PUNCT,X
co.,NOUN,X
xx,PUNCT,X
где,ADV,SCONJ
xx,VERB,X
это,PRON,PART
Стрельба,PUNCT,NOUN
велась,PUNCT,VERB
раздельным,NOUN,ADJ
заряжанием,PUNCT,NOUN
четырех,NOUN,NUM
пороховых,PUNCT,ADJ
зарядов,PUNCT,NOUN
"77,8",NOUN,NUM
топографическое,NOUN,ADJ
русла,PUNCT,NOUN
1667,ADP,ADJ
Междуре́чье,PUNCT,NOUN
Черняховском,NOUN,ADJ
1654,PUNCT,ADJ
Далейль,PUNCT,PROPN
Драммондом,PUNCT,PROPN
Михайловский,PROPN,ADJ
Белебеевском,NOUN,ADJ
Ермолкинскому,NOUN,ADJ
Узнав,PUNCT,VERB
благовещенского,PUNCT,ADJ
диакона,PUNCT,NOUN
Федора,PUNCT,PROPN
озаботилось,PUNCT,VERB
подготовленными,NOUN,VERB
списками,PUNCT,NOUN
поручило,NOUN,VERB
написать,PUNCT,VERB
опровержение,VERB,NOUN
газскому,ADP,ADJ
Челси,PUNCT,PROPN
Брентфорд,PUNCT,PROPN
встретились,PUNCT,VERB
7,NUM,ADJ
Челси,PUNCT,PROPN
Брентфорда,PUNCT,PROPN
1:0,PUNCT,NUM
Coppelius,PUNCT,X
исполняющая,PUNCT,VERB
метал,PUNCT,NOUN
ударных,ADJ,NOUN
контрабаса,PUNCT,NOUN
виолончели,PUNCT,NOUN
Напряжение,PUNCT,NOUN
"1,8",PUNCT,NUM
В,ADP,NOUN
FreeBSD,NOUN,X
журналирование,PUNCT,NOUN
файловой,PUNCT,ADJ
UFS,PUNCT,X
GEOM,PUNCT,X
gjournal,PUNCT,X
Эту,PUNCT,DET
композицию,VERB,NOUN
Бочелли,PUNCT,PROPN
Vivere,PUNCT,X
Andrea,PUNCT,X
Bocelli,PUNCT,X
Live,PUNCT,X
Tuscany,PUNCT,X
также,PART,CCONJ
композицию,VERB,NOUN
Canto,PUNCT,X
della,PUNCT,X
Terra,PUNCT,X
73-75,NOUN,NUM
наследуется,PUNCT,VERB
отцовской,NOUN,ADJ
41825,VERB,NUM
предрасположенных,NOUN,VERB
андрогенетической,NOUN,ADJ
алопеции,PUNCT,NOUN
воевал,PUNCT,VERB
3-м,PUNCT,ADJ
Украинском,PUNCT,ADJ
Белорусском,NOUN,ADJ
Донбасса,PUNCT,PROPN
разгроме,PUNCT,NOUN
врага,PUNCT,NOUN
номинировался,PUNCT,VERB
Офицер,PUNCT,NOUN
Маргарет,PUNCT,PROPN
овдовевшая,PUNCT,VERB
фермером,ADP,NOUN
Мекленбурге,NOUN,PROPN
Галле,NOUN,PROPN
Квочур,PUNCT,PROPN
Рафаэль,PUNCT,PROPN
Надаль,PUNCT,PROPN
выигрывает,PUNCT,VERB
Открытый,PUNCT,ADJ
3845,PUNCT,NUM
Жил,PUNCT,VERB
скромно,PUNCT,ADV
милосердным,VERB,ADJ
Внешний,PUNCT,ADJ
облик,PUNCT,NOUN
декора,PUNCT,NOUN
первозданном,NOUN,ADJ
Маркова,ADP,PROPN
приехавших,PUNCT,VERB
Орловской,PUNCT,ADJ
Вятской,NOUN,ADJ
арендовали,PUNCT,VERB
Выйдя,PUNCT,VERB
болгар,PUNCT,NOUN
меньше,ADV,ADJ
всего,PRON,ADV
35000,VERB,NUM
радикально,PUNCT,ADV
дизайн,ADP,NOUN
депортация,ADP,NOUN
ГКО,PUNCT,PROPN
5859,PUNCT,NUM
18,NUM,ADJ
крымские,PUNCT,ADJ
татары,PUNCT,NOUN
Нижнего,PUNCT,ADJ
Аиргуля,PUNCT,PROPN
Среднюю,NOUN,ADJ
Азию,PUNCT,PROPN
Элемент,PUNCT,NOUN
a,X,NOUN
образующим,ADP,VERB
первообразным,NOUN,ADJ
Звёзды,PUNCT,NOUN
также,CCONJ,PART
планетами,ADP,NOUN
и,PART,CCONJ
Музыку,PUNCT,NOUN
написали,PUNCT,VERB
основатели,PUNCT,NOUN
Карякины,PUNCT,PROPN
Львова,PUNCT,PROPN
открытого,ADJ,VERB
Памятной,PUNCT,ADJ
книжке,PUNCT,NOUN
Таврической,PUNCT,ADJ
покинутая,ADP,ADJ
Крымской,NOUN,ADJ
453456,PUNCT,NUM
80215822001,PUNCT,NUM
преобладающие,PUNCT,VERB
русские,ADJ,NOUN
